t_s,z_m,x_m,y_m,pitch_deg,yaw_deg,roll_deg,wz_rads,gimbal_outer_deg,gimbal_inner_deg,thrust_N,split_N
2.384185791015625e-06,1.993466539999999,1.700029006457271e-16,5.551115123125783e-17,9.998113525032883,-7.001544256498705,-3.605007034962377e-15,0.0,8.80349353971212,-6.1209237074754235,14.335175428927215,-3.5392073803679147e-15
0.004353523254394531,1.991961196594205,1.6290716667342192e-05,1.8565035936453367e-05,10.000536197801802,-7.00370095572015,-0.0005408439338402872,-0.00026908975965078734,8.782324405213812,-6.113009860063314,14.511933771787103,-0.008099121780581909
0.008559942245483398,1.9903077208639497,3.828665326680719e-05,5.0025228880708206e-05,10.004727142988939,-7.006740563909412,-0.0011561101164275602,-0.00039724955310325744,8.778789906498305,-6.114034924958139,14.688768044675218,-0.012307652133688386
0.012719869613647461,1.98852187303171,5.524788436750416e-05,7.429192441425064e-05,10.00851589311171,-7.0095085571827545,-0.00161274593878401,-0.00033678685164510524,8.776420836902519,-6.115451286667791,14.857385035660405,-0.011055439825453152
0.017019271850585938,1.9866295961463847,6.253383019538816e-05,8.483515159751764e-05,10.011569306263317,-7.0117593175171855,-0.0018579789234833405,0.00028338491006130634,8.738019035641086,-6.084544069691798,15.007127699621472,0.006146134052805511
0.021389484405517578,1.9846555979028826,5.362636363466511e-05,7.28255070124445e-05,10.013200091650537,-7.012954611942237,-0.0018139861845189902,0.0007570659014527778,8.705325857255799,-6.060516780823639,15.132203382732367,0.019511601706172426
0.0256195068359375,1.982622670159829,2.6398355015472275e-05,3.385904486513658e-05,10.013196885347563,-7.013081327415827,-0.001475628246570446,0.0010537280176868642,8.67417725755186,-6.038092828299198,15.232910588073405,0.028187405854050773
0.029867887496948242,1.9805477555522337,-2.592494972637055e-05,-4.102090953512355e-05,10.010658409866956,-7.011421272596675,-0.0007729268413911631,0.0013815393062238533,8.63683793623345,-6.01120168914507,15.312344207818295,0.03809697383545936
0.03412938117980957,1.9763260060916732,-0.00021804627011488137,-0.00031723106623980646,9.996175922161878,-7.00160529664123,0.0018493658094944404,0.0018701710712720524,8.541196247101686,-5.944451992247798,15.421935611816435,0.05441417201731019
0.03835868835449219,1.9741972381390667,-0.0003662847305144039,-0.0005308438637054713,9.982814932073104,-6.992442888982605,0.0038279237242500198,0.0017452991617237657,8.47444017061957,-5.8977681060448175,15.458795448954293,0.05284459425179527
0.042582035064697266,1.9720668389597393,-0.0005501879545633699,-0.0007961386591809616,9.965251634654395,-6.980385264916735,0.006263937315589197,0.001507576677188344,8.398974402797393,-5.845386516804784,15.487023447491735,0.0485502001250478
0.046746015548706055,1.9699388857577007,-0.0007730944706218421,-0.0011180168188144254,9.942854133252137,-6.964989263663979,0.009204569027096359,0.001232219637989348,8.315273565534522,-5.787716043231124,15.508573277113413,0.04369274182938356
0.051000356674194336,1.9678169098427332,-0.0010366118737544262,-0.0014988346512685574,9.915302898890268,-6.946039906536363,0.01269066790351372,0.0009065285659006179,8.218324418169816,-5.720915544717875,15.525148286665864,0.037955149995588154
0.05526900291442871,1.9657034403120148,-0.001342243735586935,-0.001940763841939315,9.882292678343532,-6.9233270590050315,0.016761191336688575,0.0006070937649725946,8.111221651662445,-5.64709408916932,15.537924091948705,0.033529773255089754
0.05949568748474121,1.96360052764398,-0.0016909008201882632,-0.0024450229044234925,9.843633437162,-6.896715739529066,0.021451435252987296,0.0003594644555267398,7.994415168929491,-5.566521379760958,15.547840487771968,0.03116983512410893
0.06366586685180664,1.961509545652659,-0.002083477576947209,-0.0030131615726793834,9.79908882291188,-6.866068023892971,0.026797118367126664,0.00019041745496704306,7.868235512085955,-5.479646409375637,15.55561669002573,0.03166350035830473
0.06803441047668457,1.959431687007733,-0.002520482591653144,-0.003645840833396863,9.748543095887877,-6.831298452826082,0.03281361551371087,-9.565774620848179e-05,7.728778485663198,-5.382894133640209,15.561950620047323,0.029524317586509613
0.07233309745788574,1.9573677850005604,-0.0030024763814644057,-0.00434380985386279,9.691871941557773,-6.792311780622735,0.03950524611462636,-0.00019154215486411465,7.585684648841011,-5.284306163437638,15.566952088233341,0.03339706157318643
0.0765230655670166,1.9553191112305954,-0.003528801698747308,-0.0051057879473649995,9.629213137975956,-6.749183010221369,0.046870914169488104,-0.00023502600969244357,7.437291496689432,-5.181855427413331,15.57099562521084,0.03940530585924427
0.0806884765625,1.9532855225409582,-0.004100679403707962,-0.005934394352872109,9.560197755612805,-6.701717489652526,0.05492261852176426,-0.0002539880006121334,7.281127462368244,-5.0743335474463525,15.574404515585963,0.04677674212774916
0.08495640754699707,1.9512678837514932,-0.004717672935830152,-0.0068285791834265044,9.48494277297576,-6.649954777777994,0.06362179018159177,-0.0002767512810265495,7.119158845794364,-4.962876550397908,15.57730249316775,0.05467691667197828
0.08925533294677734,1.9492667362806653,-0.005379588275337913,-0.007788076052369058,9.40346733696939,-6.593899707061796,0.07293008682777978,-0.0003714015793253707,6.951622432371095,-4.84755520025255,15.57983357852533,0.061153275895167294
0.09347796440124512,1.9472825891614327,-0.006086166436788248,-0.008812495268738986,9.315809826011037,-6.5335656805918685,0.08279918250453891,-0.0005626526616823224,6.779443850116689,-4.728974235245036,15.582079461558385,0.06546330122752843
0.09766936302185059,1.9453183956646867,-0.006831633880189078,-0.009894379194924252,9.222908560635398,-6.469743495836136,0.09323837978223011,-0.0005449525536215593,6.61143742241074,-4.614579859400061,15.583787561928892,0.07620977472829027
0.102020263671875,1.9433697350198988,-0.0076263745231838695,-0.01104696286049435,9.123062388388238,-6.400940927734134,0.10408620294691387,-0.0009377124229825581,6.431489095520295,-4.490516688960112,15.585646224084623,0.07581322889051584
0.10637068748474121,1.941439645312893,-0.008464297790729738,-0.012262436631271453,9.017256125087068,-6.327992649879263,0.11534504479736739,-0.0014152400048015328,6.24835928521198,-4.364307461220823,15.587367607065044,0.07343610779101784
0.11061668395996094,1.9376364445227836,-0.010269341765686966,-0.014880868968265515,8.787882270190646,-6.169614813523982,0.13885934195881122,-0.00274728791792245,5.87133665408952,-4.103846578118318,15.59062746419802,0.059057367489716794
0.11481642723083496,1.9357628856777878,-0.011240054940000667,-0.016285608865174384,8.664076393993799,-6.083640581993893,0.1509188983466142,-0.003878292906612909,5.674772246270902,-3.9645702069251705,15.59236569616021,0.03908729398075818
0.11903166770935059,1.9339112948472221,-0.012246833564104942,-0.01774676899125753,8.535104667062074,-5.994461454374295,0.1633601474146682,-0.004567062188429237,5.478776540052529,-3.8297514730397966,15.593916413421251,0.031929825640198736
0.12326312065124512,1.9320810493470668,-0.013292966164602831,-0.019265797464827063,8.400792822828837,-5.901605675123281,0.17606358810996542,-0.00470595692356932,5.287457532957506,-3.701611149637881,15.595180908165258,0.04049498495302744
0.12746024131774902,1.930272840227515,-0.014377497835105325,-0.020841010534345353,8.261347155701088,-5.805188055661007,0.18900581832639796,-0.005012990197660227,5.0950384272621125,-3.569981715707528,15.596434822408973,0.044565678922037014
0.1316053867340088,1.928486915988156,-0.015500355577714384,-0.022472209286167118,8.11678181886266,-5.705194351241639,0.20213952044364988,-0.00531858107009296,4.900646032621275,-3.4364061265031047,15.597667383955653,0.04886491753673995
0.13593220710754395,1.9267239326787493,-0.016660501076152676,-0.02415777726491048,7.967299366803164,-5.601748439936653,0.21541490315559006,-0.005945407126175767,4.696989597812673,-3.294666479893834,15.599125116177227,0.04426851120985609
0.14016056060791016,1.9249843660731996,-0.0178573116677787,-0.02589666659809224,7.813029947789863,-5.494916342904679,0.22877768307465307,-0.006337332450386653,4.500939967222758,-3.1590286373787957,15.600269496776829,0.04636448997432041
0.1444559097290039,1.923269063432879,-0.019089055209694603,-0.027686579678171546,7.654260830556716,-5.3849198828364715,0.24219517704570567,-0.006714238204726825,4.305748106108689,-3.024067341172708,15.601325640157556,0.04893660953632938
0.148665189743042,1.921578880968398,-0.02035434047299967,-0.029524717599592923,7.491340528895556,-5.271929070832203,0.2556066710841601,-0.007088861084597556,4.113159725417134,-2.890361583955201,15.602249577039183,0.05156704452273748
0.15302824974060059,1.9199135958987645,-0.021653617700992007,-0.03141297489322044,7.3240075964760445,-5.155853226173357,0.2689863730538111,-0.007465389948968139,3.9196509547415506,-2.756385265399959,15.603116442352999,0.054112661904526245
0.15733122825622559,1.91827412744196,-0.022985238075314187,-0.03334832256720094,7.152637906369741,-5.036896901308896,0.2822686498217337,-0.007899620388191534,3.726115534302092,-2.622136033129534,15.603904452544544,0.054939775525447015
0.16154861450195312,1.9166630674396403,-0.024341909195572727,-0.03532120948574874,6.97842576248972,-4.916035124537371,0.2954143754047537,-0.008184357774929072,3.5423665511355176,-2.496133665551904,15.604351090194047,0.05983732243524215
0.16569805145263672,1.9150768066617694,-0.025735150240262152,-0.0373461624848926,6.799515050968995,-4.791660103776066,0.3083449942943386,-0.008737661375804045,3.3503154293753368,-2.3625780101622986,15.604931388991584,0.05697026406997401
0.16999316215515137,1.9135180860909533,-0.027157234299703084,-0.039413173591959866,6.6171522024801845,-4.664805329828027,0.3210271869099879,-0.009327998796600099,3.1597328811104495,-2.230012184573804,15.605368182747572,0.05281773759531451
0.17447924613952637,1.910484779731528,-0.030085521411285777,-0.0436690605521484,6.242546281789462,-4.403888635425606,0.34545651618861734,-0.010682350480934064,2.780801250161232,-1.9656829138268508,15.60584780993285,0.038710034409005625
0.17866873741149902,1.9090104940803796,-0.03159349842189781,-0.04585697047954639,6.050383965140285,-4.269543029458129,0.35711466297363903,-0.011516716531485255,2.591090985848692,-1.8298610839077136,15.605919520151453,0.026688848079220735
0.1828908920288086,1.9075664154071288,-0.03312188875651687,-0.04807850309156829,5.855752461589313,-4.133778981965797,0.36841552531226,-0.0121538284557899,2.405838086774135,-1.700762871714663,15.605717366770314,0.019864670865102976
0.18716907501220703,1.9061523864063625,-0.0346730659114036,-0.050333720026279706,5.6586284853320254,-3.9962585712076844,0.37932312881116415,-0.01255301427232362,2.2238191948182053,-1.5778830641883312,15.605253673796852,0.019346084468975715
0.19144797325134277,1.9047688456211676,-0.03624585662715276,-0.052620906807766224,5.459204887133483,-3.857117164363761,0.38982261727713985,-0.012974610336587209,2.045472021226811,-1.4548507369201968,15.604560303335864,0.017796543858799783
0.19565367698669434,1.903416214470803,-0.03783942300889336,-0.05493804317274793,5.2577056588250946,-3.7164395832275052,0.39989467622181946,-0.013349808179662812,1.8694870622776443,-1.3325432761800773,15.603622467843588,0.01713232526827621
0.19992375373840332,1.9020947739165972,-0.039452778571221564,-0.057284207364716275,5.054210848162641,-3.574327077754072,0.4095229847831365,-0.013689646959044113,1.6952987006369078,-1.211116037623701,15.602432362811353,0.01702692942403
0.20415592193603516,1.9008049362118407,-0.0410846545599886,-0.05965734567008298,4.848949669908042,-3.4309235386096395,0.41868463177925686,-0.01408587851983496,1.5156383097379431,-1.0844525200184199,15.601091440131661,0.014877342682348324
0.20843720436096191,1.8995469879242126,-0.04273416955394971,-0.062056044072503314,4.6420694348022025,-3.286319856522413,0.4273595630905746,-0.014368598560191525,1.345980239680984,-0.9658300490002499,15.599344038197843,0.015442435446704884
0.21265506744384766,1.898321549774394,-0.04439882956505474,-0.06447633025888605,4.43403526515965,-3.1408227488577354,0.4355223068770241,-0.014628307416299021,1.181237721422622,-0.8503066692730421,15.597271957205187,0.016151878841383263
0.21688461303710938,1.897128480269514,-0.04607904256064684,-0.06691976765107689,4.224607452594937,-2.9943403556057437,0.4431622512069431,-0.01488463136541468,1.017613673967991,-0.7358245110190327,15.59490061109481,0.016443265578976754
0.22115015983581543,1.8959682099835984,-0.04777310254139133,-0.06938330891081894,4.0141321683749505,-2.8470722115566303,0.450254828407966,-0.015140342702127043,0.8569609324807351,-0.6234290395932593,15.592195672816741,0.016214505618239044
0.22545671463012695,1.8948409847644723,-0.04947978474753864,-0.07186516734740596,3.8027959622321403,-2.6991515234002748,0.45678046983033754,-0.015412748104785132,0.6986976339282106,-0.5125601098997001,15.589155344029091,0.014959637153631472
0.2296919822692871,1.8937477677934555,-0.05119269393372027,-0.07435696725799527,3.59160646255516,-2.5514005519397513,0.46267121225938085,-0.0157096399220868,0.5508130907605928,-0.41014853666411416,15.585698106615343,0.012392777648044572
